00-03-7F   (base 16)	Atheros_Communications,_Inc.
00-50-56   (base 16)	VMware,_Inc.
00-05-69   (base 16)	VMware,_Inc.
00-1C-14   (base 16)	VMware,_Inc.
00-0D-61   (base 16)	BUFFALO.INC
00-0A-EB   (base 16)	BUFFALO.INC
00-E0-4C   (base 16)	Realtek_Semiconductor_Corp.
00-E0-C6   (base 16)	NETGEAR
00-09-5B   (base 16)	NETGEAR
00-0F-B5   (base 16)	NETGEAR,_Inc.
00-14-6C   (base 16)	NETGEAR
00-18-4D   (base 16)	NETGEAR
00-1B-2F   (base 16)	NETGEAR
00-1E-2A   (base 16)	NETGEAR
00-22-3F   (base 16)	NETGEAR
00-24-B2   (base 16)	NETGEAR
00-26-F2   (base 16)	NETGEAR
08-02-8E   (base 16)	NETGEAR
08-BD-43   (base 16)	NETGEAR
0C-80-63   (base 16)	NETGEAR
10-0D-7F   (base 16)	NETGEAR
10-DA-43   (base 16)	NETGEAR
14-59-C0   (base 16)	NETGEAR
1C-C6-3C   (base 16)	ASUSTek_COMPUTER_INC.
2C-30-33   (base 16)	NETGEAR
30-46-9A   (base 16)	NETGEAR
32-30-33   (base 16)	NETGEAR
34-08-04   (base 16)	ASUSTek_COMPUTER_INC.
38-60-77   (base 16)	ASUSTek_COMPUTER_INC.
3C-37-86   (base 16)	ASUSTek_COMPUTER_INC.
40-16-7E   (base 16)	Hon_Hai_Precision_Ind._Co.,Ltd.
44-94-FC   (base 16)	NETGEAR
4C-60-DE   (base 16)	NETGEAR
50-3E-AA   (base 16)	NETGEAR
60-45-CB   (base 16)	ASUSTek_COMPUTER_INC.
6C-B0-CE   (base 16)	NETGEAR
74-DA-38   (base 16)	ASUSTek_COMPUTER_INC.
78-24-AF   (base 16)	NETGEAR
84-1B-5E   (base 16)	NETGEAR
88-DC-96   (base 16)	NETGEAR
9C-3D-CF   (base 16)	NETGEAR
A0-04-60   (base 16)	NETGEAR
A0-21-B7   (base 16)	NETGEAR
A0-63-91   (base 16)	NETGEAR
A4-2B-8C   (base 16)	NETGEAR
AC-22-05   (base 16)	NETGEAR
B0-39-56   (base 16)	NETGEAR
B0-B9-8A   (base 16)	NETGEAR
C0-3F-0E   (base 16)	NETGEAR
C4-04-15   (base 16)	NETGEAR
C8-3A-35   (base 16)	Tenda_Technology_Co.,Ltd.Dongguan_branch
CC-40-D0   (base 16)	NETGEAR
D0-50-99   (base 16)	ASUSTek_COMPUTER_INC.
D8-EB-97   (base 16)	NETGEAR
E0-46-9A   (base 16)	NETGEAR
E0-91-F5   (base 16)	NETGEAR
E4-F4-C6   (base 16)	NETGEAR
E8-FC-AF   (base 16)	NETGEAR
F4-6D-04   (base 16)	TP-LINK_TECHNOLOGIES_CO.,LTD.
FC-94-E3   (base 16)	NETGEAR
00-E0-FC   (base 16)	Realtek_Semiconductor_Corp.
04-D4-C4   (base 16)	Hewlett_Packard_Company
08-00-20   (base 16)	Apple_Computer,_Inc.
08-62-66   (base 16)	Xiaomi_Communications_Co_Ltd
0C-72-2C   (base 16)	Xiaomi_Communications_Co_Ltd
10-2A-B3   (base 16)	Xiaomi_Communications_Co_Ltd
14-75-90   (base 16)	Xiaomi_Communications_Co_Ltd
18-59-36   (base 16)	Xiaomi_Communications_Co_Ltd
28-6C-07   (base 16)	Xiaomi_Communications_Co_Ltd
34-80-B3   (base 16)	Xiaomi_Communications_Co_Ltd
34-CE-00   (base 16)	Xiaomi_Communications_Co_Ltd
3C-BD-D8   (base 16)	Xiaomi_Communications_Co_Ltd
40-31-3C   (base 16)	Xiaomi_Communications_Co_Ltd
50-64-2B   (base 16)	Xiaomi_Communications_Co_Ltd
50-8F-4C   (base 16)	Xiaomi_Communications_Co_Ltd
58-44-98   (base 16)	Xiaomi_Communications_Co_Ltd
64-09-80   (base 16)	Xiaomi_Communications_Co_Ltd
64-90-C1   (base 16)	Xiaomi_Communications_Co_Ltd
68-DF-DD   (base 16)	Xiaomi_Communications_Co_Ltd
74-23-44   (base 16)	Xiaomi_Communications_Co_Ltd
74-51-BA   (base 16)	Xiaomi_Communications_Co_Ltd
78-11-DC   (base 16)	Xiaomi_Communications_Co_Ltd
7C-1D-D9   (base 16)	Xiaomi_Communications_Co_Ltd
8C-BE-BE   (base 16)	Xiaomi_Communications_Co_Ltd
98-FA-E3   (base 16)	Xiaomi_Communications_Co_Ltd
9C-99-A0   (base 16)	Xiaomi_Communications_Co_Ltd
A0-86-C6   (base 16)	Xiaomi_Communications_Co_Ltd
AC-23-3F   (base 16)	Xiaomi_Communications_Co_Ltd
AC-C1-EE   (base 16)	Xiaomi_Communications_Co_Ltd
AC-F7-F3   (base 16)	Xiaomi_Communications_Co_Ltd
B0-E2-35   (base 16)	Xiaomi_Communications_Co_Ltd
C4-0B-CB   (base 16)	Xiaomi_Communications_Co_Ltd
D0-AB-D5   (base 16)	Xiaomi_Communications_Co_Ltd
D4-97-0B   (base 16)	Xiaomi_Communications_Co_Ltd
DC-D3-A2   (base 16)	Xiaomi_Communications_Co_Ltd
F0-B4-29   (base 16)	Xiaomi_Communications_Co_Ltd
F4-8B-32   (base 16)	Xiaomi_Communications_Co_Ltd
F8-A4-5F   (base 16)	Xiaomi_Communications_Co_Ltd
00-22-CF   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
00-25-9E   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
00-46-4B   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
00-66-4B   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
00-9A-CD   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
00-E0-FC   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
04-02-1F   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
04-C0-6F   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
08-19-A6   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
08-7A-4C   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
0C-37-DC   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
0C-96-BF   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
10-1B-54   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
10-47-80   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
18-0A-7B   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
18-54-CF   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
1C-1D-67   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
20-08-ED   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
20-F3-A3   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
24-09-95   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
24-69-68   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
28-31-52   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
28-6E-D4   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
2C-AB-00   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
30-3A-64   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
34-6B-D3   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
34-CD-BE   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
38-BC-01   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
3C-DF-BD   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
40-4D-8E   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
44-11-5A   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
48-46-FB   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
48-7B-6B   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
4C-54-99   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
50-01-BB   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
54-25-EA   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
54-89-98   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
5C-3A-45   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
5C-63-BF   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
60-DE-44   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
64-3E-8C   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
68-3E-34   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
6C-4A-85   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
70-72-3C   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
74-A5-28   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
78-D7-52   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
7C-60-97   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
80-71-7A   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
84-A8-E4   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
88-28-B3   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
8C-34-FD   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
90-17-AC   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
94-04-9C   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
98-52-B1   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
9C-28-EF   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
A0-02-DC   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
A4-C4-94   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
A8-7B-39   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
AC-85-3D   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
B0-79-94   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
B4-30-52   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
B8-08-CF   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
BC-25-E0   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
BC-76-70   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
C0-18-0C   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
C4-0E-77   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
C8-14-B8   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
CC-96-A0   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
D0-7A-B5   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
D4-6A-91   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
D8-49-0B   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
DC-72-9B   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
E0-19-1D   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
E0-97-96   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
E4-C3-2A   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
E8-CD-2D   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
EC-23-3D   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
EC-38-8F   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
F0-23-B9   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
F4-55-9C   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
F4-C7-14   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
F8-4A-BF   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
FC-48-EF   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
00-11-D8   (base 16)	ASIX_ELECTRONICS_CORPORATION
00-14-2D   (base 16)	Microsoft_Corporation
00-50-F2   (base 16)	Microsoft_Corporation
00-15-5D   (base 16)	Microsoft_Corporation

